"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","condition_confidence_scenario","criticality_overall_score","criticality_overall_score_label","criticality_operational_score","criticality_pipe_type_score","criticality_people_impacts_score","criticality_people_impacts_dataset_s_","criticality_environmental_impacts_score","criticality_environmental_impacts_dataset_s_","criticality_infiltration_score","criticality_impact_of_failure_score","criticality_flow_ratio","criticality_confidence_scenario","Risk-score"
"CONC",1975,457,76.03,2.27,"2","2","2016","te puna wai","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.80059915773354,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0206738131699847,"Modelled Flow Data Used & Depth Available",8
"CONC",1975,457,74.77,2.27,"2","2","2016","te puna wai","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.80059915773354,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0206738131699847,"Modelled Flow Data Used & Depth Available",8
"CONC",1975,457,33.98,2.27,"2","2","2016","te puna wai","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.80059915773354,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0206738131699847,"Modelled Flow Data Used & Depth Available",8
"CONC",1962,300,12.89,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.80003062787136,3,3,1,2.5,"Property Parcels",1,NA,1.5,0.98,0.10260336906585,"Modelled Flow Data Used & Depth Available",8
"CONC",1961,457,79.11,2.67,"3","2","2016","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79934724349158,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0222052067381317,"Modelled Flow Data Used & Depth Available",14
"CONC",1962,457,15,3.1,"3","3","2016","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79934724349158,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0222052067381317,"Modelled Flow Data Used & Depth Available",14
"CONC",1959,525,72.45,2.58,"3","2","2016","te puna wai","no",3,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79934724349158,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0222052067381317,"Modelled Flow Data Used & Depth Available",14
"CONC",1961,457,52.6,3,"3","3","2016","te puna wai","no",3,3,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79934724349158,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0222052067381317,"Modelled Flow Data Used & Depth Available",14
"CONC",1966,440,10.54,2.17,"2","2","2015","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.79934724349158,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0222052067381317,"Modelled Flow Data Used & Depth Available",8
"CONC",1966,440,10.08,3,"3","3","2015","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.79934724349158,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0222052067381317,"Modelled Flow Data Used & Depth Available",14
"CONC",1946,318,18.3,2.29,"2","2","2012","te puna wai","no",1,1,3,"CCTV Available (10-20 Years Old) & Soil Type Not Available",2.7983508784912,3,1,5,1,NA,4,"Significant Ecological Area - SEA_T_6008, Aquifer - Auckland Isthmus Volcanic Aquifer, NZ River Lines",1,1.035,0.00517024487077605,"Modelled Flow Data Used & Depth Available",8
"CONC",1972,440,29.19,2.46,"2","None","None","CCTV app","yes",5,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.79809532924962,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8320",1.5,1.045,0.0237366003062787,"Modelled Flow Data Used & Depth Available",8
"CONC",1972,440,145.24,1.71,"2","None","None","CCTV app","yes",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.79809532924962,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8320",1.5,1.045,0.0237366003062787,"Modelled Flow Data Used & Depth Available",8
"CONC",1972,440,83.52,1.71,"2","None","None","CCTV app","yes",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.79809532924962,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8323",1.5,1.045,0.0237366003062787,"Modelled Flow Data Used & Depth Available",8
"CONC",1972,440,124.14,1.71,"2","None","None","CCTV app","yes",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.79684341500766,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8323",1.5,1.045,0.0252679938744257,"Modelled Flow Data Used & Depth Available",8
"CONC",1972,440,82.33,1.71,"2","None","None","None","no",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.79684341500766,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8323",1.5,1.045,0.0252679938744257,"Modelled Flow Data Used & Depth Available",8
"CONC",1966,440,6.11,3,"3","3","2015","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.79621745788668,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0260336906584992,"Modelled Flow Data Used & Depth Available",14
"CONC",1973,1350,244.21,2,"2","2","2008","CCTV Footage Review Log South_Latest.xls","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.79530333765528,3,4,5,1,NA,1,NA,5,0.895,0.122354954844812,"Modelled Flow Data Used & Depth Available",8
"CLS",1964,550,27.76,4.58,"5","None","None","None","no",5,1,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.795,3,2,5,1,NA,4,"NZ River Lines",1.5,1.05,0.4,"Diameter Used For Flow Approximation & Depth Available",22
"CLS",1964,550,26.92,4.58,"5","None","None","None","no",5,1,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.795,3,2,5,1,NA,4,"NZ River Lines",1.5,1.05,0.4,"Diameter Used For Flow Approximation & Depth Available",22
"PE",2012,560,98.81,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.795,3,2,5,1,NA,4,"NZ River Lines",1.5,1.05,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CLS",2021,508,67.22,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.795,3,2,5,1,NA,4,"NZ River Lines",1.5,1.05,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CLS",1940,525,80.53,4.41,"4","None","None","None","no",3,3,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.79496554364472,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8253",1.5,1.045,0.0275650842266463,"Modelled Flow Data Used & Depth Available",18
"VC",1940,500,68.51,2.17,"2","2","2015","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79496554364472,3,1,2,2.5,"Property Parcels",1,"Place Of Historic Heritage - Cedric Firth residence",1.5,1.045,0.0275650842266463,"Modelled Flow Data Used & Depth Available",8
"CLS",1940,550,55.61,3.81,"4","3","2015","te puna wai","no",3,3,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79496554364472,3,1,2,2.5,"Property Parcels",1,"Place Of Historic Heritage - Thorne Estate Dairy",1.5,1.045,0.0275650842266463,"Modelled Flow Data Used & Depth Available",18
"CLS",1940,550,25.14,3.81,"4","3","2015","te puna wai","no",3,3,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79496554364472,3,1,2,2.5,"Property Parcels, Safe Swim Beach",1,"Place Of Historic Heritage - Merkesworth Castle",1.5,1.045,0.0275650842266463,"Modelled Flow Data Used & Depth Available",18
"CLS",1940,550,24.25,3.81,"4","3","2015","te puna wai","no",3,3,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79496554364472,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0275650842266463,"Modelled Flow Data Used & Depth Available",18
"CI",1940,525,57.32,3.91,"4","3","2015","te puna wai","no",5,1,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79433958652374,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0283307810107198,"Modelled Flow Data Used & Depth Available",18
"CI",1940,525,53.37,3.81,"4","3","2015","te puna wai","no",3,3,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79433958652374,3,1,2,2.5,"Property Parcels, Safe Swim Beach",1,NA,1.5,1.045,0.0283307810107198,"Modelled Flow Data Used & Depth Available",18
"CI",1940,525,32.42,3.81,"4","3","2015","te puna wai","no",3,3,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79433958652374,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0283307810107198,"Modelled Flow Data Used & Depth Available",18
"CONC",1960,490,47.17,3,"3","3","2015","te puna wai","no",3,3,3,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.79308767228178,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0298621745788668,"Modelled Flow Data Used & Depth Available",14
"CONC",1966,440,4.07,3,"3","3","2015","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.79308767228178,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0298621745788668,"Modelled Flow Data Used & Depth Available",14
"CONC",1962,457,35.88,2.67,"3","2","2016","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.79183575803982,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0313935681470138,"Modelled Flow Data Used & Depth Available",14
"CONC",1960,440,86.24,2.79,"3","None","None","None","no",3,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.79058384379786,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8169",1.5,1.045,0.0329249617151608,"Modelled Flow Data Used & Depth Available",14
"CONC",1966,490,39.08,2.29,"2","None","None","None","no",3,3,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.79058384379786,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0329249617151608,"Modelled Flow Data Used & Depth Available",8
"CONC",1940,457,37.94,1.44,"1","1","2015","te puna wai","no",5,1,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CONC",2012,502,37.1,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CONC",1962,457,36.89,3.17,"3","None","None","None","no",5,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",14
"CONC",1961,525,34.13,2.67,"3","2","2016","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",14
"CONC",2017,500,24.4,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,"Aquifer - Franklin Volcanic Aquifer",1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CONC",2017,500,24.37,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,"Aquifer - Franklin Volcanic Aquifer",1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CLS",1962,550,13.53,4.58,"5","None","None","None","no",5,1,5,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",22
"PE",2012,407,13.26,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CONC",1966,450,9.89,4,"4","4","2009","te puna wai","yes",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",18
"CLS",2000,470,6.08,1.97,"2","None","None","CCTV app","yes",5,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8406",1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"PE",2012,407,5.69,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"PE",2012,407,5.18,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CONC",1961,500,4.34,3.17,"3","None","None","None","no",5,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",14
"PE",2018,400,0.69,1.76,"2","None","None","None","no",5,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"ELS",2017,450,35.5,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"ELS",2017,450,35.49,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"ELS",2017,450,35.49,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CLS",1940,525,21.26,3.81,"4","3","2015","te puna wai","no",3,3,5,"CCTV Available (0-10 Years Old) & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels, Safe Swim Beach",1,"Place Of Historic Heritage - Merkesworth Castle",1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",18
"CONC",1966,440,6.49,3,"3","3","2015","te puna wai","no",3,3,2,"CCTV Available (0-10 Years Old) & Soil Type Not Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",14
"CONC",1972,440,5.71,2.08,"2","None","None","CCTV app","yes",3,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8320",1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"PE",2013,450,394.56,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2013,450,287.88,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CONC",1990,457,93.74,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CONC",1990,457,69.53,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2014,400,46.04,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CONC",1962,550,29.94,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CONC",1950,457,28.59,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"PE",2020,450,23.09,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2020,450,21.82,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2012,550,16.18,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CONC",1972,440,15.62,1.71,"2","None","None","CCTV app","yes",1,1,2,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8320",1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"PE",1985,500,14.39,2,"2","2","2018","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"PE",2013,400,8.25,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2012,550,6.84,1,"1","None","None","None","no",1,1,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2020,450,4.37,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2020,450,3.88,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"PE",2014,450,1.55,1.21,"1","None","None","None","no",1,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",4
"CONC",1950,457,1.12,2.41,"2","None","None","None","no",1,1,3,"CCTV NOT Available or Over 30 Years Old & Soil Type Available",2.7905,3,2,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.4,"Diameter Used For Flow Approximation & Depth Available",8
"CONC",1962,440,106.08,3.1,"3","3","2015","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78870597243492,3,1,2,2.5,"Property Parcels",1,"Significant Ecological Area - SEA_T_8255",1.5,1.045,0.0352220520673813,"Modelled Flow Data Used & Depth Available",14
"CONC",2012,2300,47.42,1,"1","1","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78824281651261,3,4,5,1,NA,1,NA,5,0.895,0.118095213582269,"Modelled Flow Data Used & Depth Available",4
"PE",2014,400,9.63,1.59,"2","None","None","None","no",3,3,1,"CCTV NOT Available or Over 30 Years Old & Soil Type Not Available",2.7875,3,1,2,2.5,"Property Parcels",1,NA,1,1.025,0,"Modelled Flow Data Used & Depth Available",8
"CONC",1966,450,61.45,1.51,"2","1","2013","te puna wai","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.7875,3,1,2,2.5,"Property Parcels",1,NA,1,1.025,0,"Modelled Flow Data Used & Depth Available",8
"CONC",1959,500,67.29,2.67,"3","2","2016","te puna wai","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78745405819296,3,1,2,2.5,"Property Parcels",1,NA,1.5,1.045,0.0367534456355283,"Modelled Flow Data Used & Depth Available",14
"CONC",1966,470,92.91,2.33,"2","2","2009","te puna wai","no",5,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78710981863926,3,1,2,2.5,"Property Parcels",1,NA,1,1.025,0.000495468394585882,"Modelled Flow Data Used & Depth Available",8
"CONC",1966,450,34.74,3,"3","3","2010","te puna wai","yes",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78683389261205,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0177628636786276,"Modelled Flow Data Used & Depth Available",14
"CONC",1969,450,166.39,2,"2","2","2016","te puna wai","no",1,3,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78672627301595,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0206327195745406,"Modelled Flow Data Used & Depth Available",8
"CONC",1969,450,134.32,2,"2","2","2016","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78672554911733,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0206520235379661,"Modelled Flow Data Used & Depth Available",8
"CONC",1985,525,168.04,2,"2","2","2018","te puna wai","no",1,3,1,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78670129851327,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0212987063127178,"Modelled Flow Data Used & Depth Available",8
"VC",2009,400,95.64,1.15,"1","1","2010","te puna wai","no",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78659790165917,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0240559557553158,"Modelled Flow Data Used & Depth Available",4
"VC",2009,400,102.1,1.15,"1","1","2010","te puna wai","no",1,3,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78651429136759,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0262855635309523,"Modelled Flow Data Used & Depth Available",4
"CONC",1962,525,57.77,2.24,"2","2","2021","CCTV Footage Review Log South_Latest.xls","yes",1,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78650319158862,3,2,2,2.5,"Property Parcels",1,"Aquifer - Mt Wellington Volcanic Aquifer",1,1.025,0.0265815576368088,"Modelled Flow Data Used & Depth Available",8
"CONC",1965,450,47.77,2.27,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78647845838548,3,2,2,2.5,"Property Parcels",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.025,0.0272411097205108,"Modelled Flow Data Used & Depth Available",8
"CONC",1965,450,32.78,2.27,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78647845838548,3,2,2,2.5,"Property Parcels",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.025,0.0272411097205108,"Modelled Flow Data Used & Depth Available",8
"CONC",1965,450,70.58,2.27,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78646675535765,3,2,2,2.5,"Property Parcels",1,"Aquifer - Auckland Isthmus Volcanic Aquifer",1,1.025,0.0275531904625551,"Modelled Flow Data Used & Depth Available",8
"CONC",1966,450,39.61,2,"2","2","2010","te puna wai","yes",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78639786433818,3,1,2,2.5,"Property Parcels",1,NA,1,1.025,0.00139953734834324,"Modelled Flow Data Used & Depth Available",8
"CONC",1966,450,33.73,2,"2","2","2010","te puna wai","no",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78639786433818,3,1,2,2.5,"Property Parcels",1,NA,1,1.025,0.00139953734834324,"Modelled Flow Data Used & Depth Available",8
"CONC",1946,525,153.91,2.67,"3","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.786289762143,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0322730095200713,"Modelled Flow Data Used & Depth Available",14
"CONC",1966,450,89.09,2,"2","2","2018","te puna wai","no",1,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.7862618920458,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0330162121119501,"Modelled Flow Data Used & Depth Available",8
"CONC",1946,525,138.05,2.67,"3","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,3,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78626068554809,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0330483853843258,"Modelled Flow Data Used & Depth Available",14
"CONC",1966,450,88.79,3,"3","3","2018","te puna wai","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78625887580152,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0330966452928894,"Modelled Flow Data Used & Depth Available",14
"CONC",1992,450,70.83,1,"1","1","2012","te puna wai","no",1,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78622352541849,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0340393221734976,"Modelled Flow Data Used & Depth Available",4
"ABS",1992,450,50.56,1,"1","1","2012","te puna wai","no",1,1,1,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78622352541849,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0340393221734976,"Modelled Flow Data Used & Depth Available",4
"CONC",1964,450,98.92,3,"3","3","2015","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78608936287269,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0376169900616762,"Modelled Flow Data Used & Depth Available",14
"CONC",1964,450,72.76,3,"3","3","2015","CCTV Footage Review Log South_Latest.xls","no",5,1,2,"CCTV Available (0-10 Years Old) & Soil Type Available",2.78608176193709,3,2,2,2.5,"Property Parcels",1,NA,1,1.025,0.0378196816776431,"Modelled Flow Data Used & Depth Available",14
"CONC",1966,450,87.47,3,"3","3","2010","te puna wai","yes",1,1,2,"CCTV Available (10-20 Years Old) & Soil Type Available",2.78533119970915,3,1,2,2.5,"Property Parcels",1,NA,1,1.025,0.00275403211536049,"Modelled Flow Data Used & Depth Available",14
